sim_minutes,n_riders_active,mean_stress_level,mean_congestion_index,pct_on_pavement,n_conflicts_this_step,cumulative_conflicts,deliveries_completed,pct_overdue
0.0,294,0.0,0.0,0.0,0,0,0,0.0
0.08333333333333333,294,0.0,0.28835065704090723,0.05102040816326531,28,28,0,0.0
0.16666666666666666,294,0.012034162302198175,0.28561062496414047,0.05102040816326531,29,57,0,0.0
0.25,294,0.024068324604396354,0.2822079429900299,0.05102040816326531,31,88,0,0.0
0.3333333333333333,294,0.03610248690659453,0.28833835965251653,0.05442176870748299,31,119,0,0.0
0.4166666666666667,294,0.04813664920879271,0.2983129466679199,0.05442176870748299,33,152,0,0.0
0.5,293,0.059694798887443175,0.2917529069111394,0.05460750853242321,36,188,1,0.0
0.5833333333333334,294,0.07139010642457491,0.297882276453705,0.05782312925170068,32,220,1,0.0
0.6666666666666666,294,0.08328845749533739,0.28432121544366445,0.05782312925170068,40,260,1,0.0
0.75,294,0.09522468684381531,0.29490230102475,0.05442176870748299,37,297,1,0.0
0.8333333333333334,294,0.10716091619229325,0.2910321915423956,0.04421768707482993,21,318,1,0.0
0.9166666666666666,294,0.11909714554077117,0.2849392198881995,0.04421768707482993,21,339,1,0.0
1.0,294,0.13103337488924907,0.293547844823355,0.04421768707482993,20,359,1,0.0
1.0833333333333333,294,0.14296960423772703,0.2889392164902369,0.04421768707482993,15,374,1,0.0
1.1666666666666667,294,0.15490583358620494,0.2932556106025494,0.05782312925170068,20,394,1,0.0
1.25,294,0.16684206293468284,0.29276298153849173,0.05782312925170068,18,412,1,0.0
1.3333333333333333,294,0.17877829228316078,0.29936883788924606,0.06802721088435375,16,428,1,0.0
1.4166666666666667,294,0.1907145216316387,0.298664286528718,0.07142857142857142,21,449,1,0.0
1.5,294,0.20265075098011665,0.3153733616561605,0.08503401360544217,17,466,1,0.0
1.5833333333333333,293,0.21337913548330087,0.31187640302706127,0.07167235494880546,17,483,2,0.0
1.6666666666666667,294,0.2244821618917374,0.30094565163807147,0.06802721088435375,7,490,2,0.0
1.75,294,0.2363109676725661,0.30155904051676646,0.06462585034013606,15,505,2,0.0
1.8333333333333333,294,0.2481885235409443,0.3057472060387512,0.07142857142857142,6,511,2,0.0
1.9166666666666667,294,0.2600660794093225,0.2984796838011247,0.05782312925170068,10,521,2,0.0
2.0,293,0.27060266161035834,0.2913128379323042,0.06143344709897611,8,529,3,0.0
2.0833333333333335,294,0.2814614789196051,0.29884657746247906,0.047619047619047616,8,537,3,0.0
2.1666666666666665,294,0.2932407134452135,0.30388019414987344,0.05442176870748299,8,545,3,0.0
2.25,294,0.30508010209972636,0.3134553695413754,0.06802721088435375,11,556,3,0.0
2.3333333333333335,294,0.3169194907542392,0.30294319922599805,0.06462585034013606,11,567,3,0.0
2.4166666666666665,294,0.32875887940875204,0.28549102878548943,0.034013605442176874,8,575,3,0.0
2.5,293,0.3391109294183143,0.2885199581133592,0.06484641638225255,10,585,4,0.0
2.5833333333333335,294,0.3497058182553084,0.2765044423625889,0.05102040816326531,10,595,4,0.0
2.6666666666666665,294,0.3614541456277388,0.28581047080127037,0.05102040816326531,13,608,4,0.0
2.75,294,0.37322757541448287,0.2910887620489494,0.09523809523809523,17,625,4,0.0
2.8333333333333335,292,0.3820005413424373,0.2784550400132592,0.0821917808219178,15,640,6,0.0
2.9166666666666665,294,0.39100565808179216,0.2778892026341006,0.08843537414965986,16,656,6,0.0
3.0,292,0.3995311321622148,0.28757746249184607,0.08904109589041095,23,679,8,0.0
3.0833333333333335,293,0.40673364343238333,0.2938866215316727,0.11262798634812286,12,691,9,0.0
3.1666666666666665,294,0.4167615054069301,0.2976379723828704,0.11904761904761904,15,706,9,0.0
3.25,294,0.4283199426247537,0.30352834051813643,0.14965986394557823,10,716,9,0.0
3.3333333333333335,294,0.4399302901720707,0.30135326691449144,0.16326530612244897,21,737,9,0.0
3.4166666666666665,292,0.4484923570652944,0.28286642010957075,0.1506849315068493,22,759,11,0.0
3.5,294,0.4568992549704636,0.27687786514317125,0.14625850340136054,24,783,11,0.0
3.5833333333333335,292,0.465245633476312,0.28089726103424734,0.1678082191780822,23,806,13,0.0
3.6666666666666665,293,0.47184284270738663,0.28766334224142864,0.17406143344709898,13,819,14,0.0
3.75,292,0.4782930243195446,0.3030246203099337,0.19863013698630136,18,837,16,0.0
3.8333333333333335,293,0.4845871893809895,0.2867112223675757,0.19795221843003413,20,857,17,0.0
3.9166666666666665,293,0.4923677160373418,0.2856552154241967,0.19795221843003413,21,878,18,0.003401360544217687
4.0,294,0.5019545623960582,0.290568964624446,0.20068027210884354,13,891,18,0.0
4.083333333333333,293,0.5117554201171675,0.2849879074281804,0.22184300341296928,21,912,19,0.0
4.166666666666667,293,0.519663429620438,0.2916839740638208,0.22866894197952217,20,932,20,0.0
4.25,293,0.5274132866915863,0.28859252626247534,0.21843003412969283,24,956,21,0.01020408163265306
4.333333333333333,293,0.535008820167949,0.2816666023570293,0.2354948805460751,21,977,22,0.017006802721088437
4.416666666666667,292,0.5408745448430727,0.28417169283153665,0.23972602739726026,20,997,24,0.02040816326530612
4.5,293,0.546464403956206,0.27167356756329336,0.22525597269624573,24,1021,25,0.013605442176870748
4.583333333333333,293,0.5538075358403287,0.2597332894114111,0.22184300341296928,12,1033,26,0.023809523809523808
4.666666666666667,294,0.5625239867481231,0.2623470542541619,0.24829931972789115,23,1056,26,0.023809523809523808
4.75,294,0.5730424953053291,0.26633788677243986,0.2585034013605442,18,1074,26,0.04081632653061224
4.833333333333333,293,0.5819228344181864,0.261768502965396,0.2764505119453925,20,1094,27,0.05102040816326531
4.916666666666667,291,0.585871366040676,0.26564476983957963,0.27491408934707906,14,1108,30,0.047619047619047616
5.0,293,0.5885589350524009,0.2561639359685729,0.2696245733788396,21,1129,31,0.047619047619047616
5.083333333333333,289,0.5894302082581089,0.2508402977317229,0.2698961937716263,31,1160,36,0.06462585034013606
5.166666666666667,293,0.5876934117523435,0.25681300118713724,0.2935153583617747,21,1181,37,0.05782312925170068
5.25,294,0.5953343746443857,0.25801748327810187,0.3197278911564626,32,1213,37,0.05782312925170068
5.333333333333333,292,0.6024204110696294,0.2692469063896792,0.3424657534246575,33,1246,39,0.07142857142857142
5.416666666666667,291,0.6038718294376548,0.26035158045467327,0.3711340206185567,33,1279,42,0.08163265306122448
5.5,294,0.6071049147448998,0.25974647046075616,0.37755102040816324,25,1304,42,0.07482993197278912
5.583333333333333,291,0.6126462145611258,0.2622429403357239,0.3745704467353952,25,1329,45,0.07482993197278912
