rider_id,origin_node,elapsed_s,time_budget_s,overdue,distance_m,pavement_time_s,red_light_violations,pavement_conflicts,pavement_risk_exposure,severe_conflicts
178,5393414954,110.0,169.11311508542437,False,351.41262503817353,0.0,0,0,0.0,0
147,25472291,110.0,165.80420735403442,False,330.5665063304169,0.0,0,0,0.0,0
287,9167793401,110.0,159.16087256315967,False,288.7134971479057,0.0,2,0,0.0,0
200,25532844,115.0,168.3033483126836,False,346.31109436990664,0.0,0,0,0.0,0
190,1666324226,120.0,175.65416911746186,False,392.62126544000955,0.0,0,0,0.0,0
87,435144778,165.0,195.63347264262865,False,518.4908776485606,15.0,0,0,0.0,0
249,3561398893,170.0,199.57049883713657,False,543.2941426739602,0.0,0,0,0.0,0
209,13567811111,170.0,205.84094746127715,False,582.797969006046,0.0,1,0,0.0,0
224,255747713,180.0,209.09852725816708,False,603.3207217264527,0.0,1,0,0.0,0
32,1684410105,180.0,201.0348243821616,False,552.5193936076179,0.0,4,0,0.0,0
269,107324,185.0,211.22720556478174,False,616.7313950581248,0.0,0,0,0.0,0
142,25533613,205.0,210.03819775371306,False,609.2406458483921,0.0,1,0,0.0,0
170,10845640242,220.0,236.4498765268009,False,775.6342221188457,0.0,1,0,0.0,0
67,14017207475,230.0,233.25478348422055,False,755.5051359505891,0.0,2,0,0.0,0
151,1614926348,235.0,231.232497416476,False,742.7647337237985,235.0,3,18,29.446106344166907,9
28,9512926,245.0,220.5413901475373,True,675.4107579294847,5.0,1,0,0.13179814308201415,0
54,823745,250.0,250.8016942574963,False,866.0506738222268,0.0,3,0,0.0,0
59,9512930,255.0,245.65434868649027,True,833.6223967248883,0.0,3,0,0.0,0
55,2191588310,260.0,251.2893693182521,True,869.1230267049884,0.0,2,0,0.0,0
248,25496592,265.0,260.26240592605285,False,925.6531573341324,0.0,1,0,0.0,0
86,13349587,265.0,261.8117229829953,False,935.4138547928703,0.0,4,0,0.0,0
33,102041,270.0,260.41473604611974,True,926.6128370905543,0.0,4,0,0.0,0
62,1666324140,270.0,261.2993052070825,True,932.1856228046192,0.0,2,0,0.0,0
210,2441998875,270.0,257.65858149775386,True,909.2490634358487,0.0,3,0,0.0,0
127,11052055754,275.0,270.2827473497652,False,988.7813083035203,0.0,2,0,0.0,0
75,25532840,280.0,265.74797336109833,True,960.2122321749193,0.0,1,0,0.0,0
2,25500900,280.0,255.1045461563321,True,893.1586407848927,30.0,3,0,0.9857276171429512,0
57,21651908,280.0,266.8581756814212,True,967.2065067929532,0.0,3,0,0.0,0
119,25476020,290.0,234.19702651528354,True,761.4412670462857,35.0,1,2,1.6489723810122956,0
41,1616122237,290.0,262.10253356490153,True,937.2459614588792,0.0,3,0,0.0,0
180,3733175891,290.0,267.47515967824336,True,971.0935059729328,0.0,3,0,0.0,0
251,21590630,295.0,283.3185733578324,True,1070.9070121543446,0.0,3,0,0.0,0
273,25714232,305.0,287.74968750410886,True,1098.8230312758856,0.0,3,0,0.0,0
216,1614926348,310.0,224.33399297447926,True,699.3041557392193,310.0,1,24,40.37488015680581,9
59,25544136,55.0,138.7776877870252,False,160.29943305825878,0.0,0,0,0.0,0
60,21665719,315.0,287.46842574628795,True,1097.051082201614,0.0,4,0,0.0,0
84,333650017,320.0,291.22389534688836,True,1120.7105406853966,0.0,4,0,0.0,0
76,2450775063,325.0,296.6609301375009,True,1154.9638598662555,0.0,2,0,0.0,0
123,25375976,345.0,313.5376045383864,True,1261.2869085918335,0.0,1,0,0.0,0
249,281454988,170.0,204.37407364353697,False,573.5566639542827,0.0,2,0,0.0,0
200,1614926348,225.0,193.23447092304943,True,503.3771668152114,225.0,0,19,22.18861562811161,4
29,9512930,345.0,304.3371861032212,True,1203.3242724502927,0.0,4,0,0.0,0
240,9791487,350.0,299.2732614811794,True,1171.42154733143,0.0,3,0,0.0,0
169,1666324108,355.0,315.17760592544516,True,1271.6189173303046,0.0,2,0,0.0,0
94,380494808,355.0,300.57122372077333,True,1179.598709440872,0.0,5,0,0.0,0
122,4431563564,360.0,322.03637186171346,True,1314.829142728795,0.0,1,0,0.0,0
