BusinessName,BusinessType,AddressLine1,PostCode,lon,lat,RatingValue,FHRSID
Albert's Schloss,Restaurant/Cafe/Canteen,20-24 SHAFTESBURY AVENUE,W1D 7EU,-0.1335517,51.5108739,5,1737195
Albertini,Restaurant/Cafe/Canteen,,NW1 1JH,-0.1289817,51.5288405,5,426139
Alfred Dunhill Spa,Restaurant/Cafe/Canteen,2-2A DAVIES STREET,W1K 3DJ,-0.1471566,51.5108648,5,412442
All Bar One,Restaurant/Cafe/Canteen,MARCOL HOUSE 289-293 REGENT STREET,W1B 2HJ,-0.1427758,51.5165239,5,413503
All Bar One,Restaurant/Cafe/Canteen,5A PICTON PLACE,W1U 1BL,-0.151354,51.5154004,5,411651
All Bar One,Restaurant/Cafe/Canteen,6 VILLIERS STREET,WC2N 6NQ,-0.1242794,51.508208,5,411246
All Bar One,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR 48 LEICESTER SQUARE,WC2H 7LU,-0.1307975,51.5102096,5,412967
All Star Lanes,Restaurant/Cafe/Canteen,Victoria House,WC1B 4DA,-0.122126996517181,51.5192070007324,5,1214109
ALL'ANTICO VINAIO,Takeaway/sandwich shop,BASEMENT AND GROUND FLOOR 61 OLD COMPTON STREET,W1D 6HS,-0.1327943,51.5124805,5,1863938
Alley Cats Pizza MYB,Restaurant/Cafe/Canteen,22 PADDINGTON STREET,W1U 5QY,-0.1552171,51.5206766,5,1918169
ALTA Restaurant,Restaurant/Cafe/Canteen,UNIT G9 KINGLY COURT KINGLY COURT,W1B 5PW,-0.1387041,51.5124576,5,1802752
Alto By San Carlo,Restaurant/Cafe/Canteen,ROOFTOP RESTAURANT SELFRIDGES 400 OXFORD STREET,W1A 1AB,-0.1528138,51.5145871,5,1048545
AMALFI LOUNGE,Restaurant/Cafe/Canteen,,WC2H 9AJ,-0.1255636,51.5149863,5,1832058
Amalfi Restaurant,Restaurant/Cafe/Canteen,25 ARGYLL STREET,W1F 7TU,-0.1410777,51.5146894,5,1486576
Amazonico Restaurant,Restaurant/Cafe/Canteen,10 BERKELEY SQUARE,W1J 6AA,-0.144687,51.5095758,5,1274504
Ambassadors Clubhouse,Restaurant/Cafe/Canteen,25-27 HEDDON STREET,W1B 4BH,-0.1398825,51.5111274,5,1724880
Americano,Restaurant/Cafe/Canteen,176 Fleet Street,EC4A 2EN,-0.109347,51.514415,5,1618751
Americano,Takeaway/sandwich shop,Victoria House,WC1B 4DA,-0.122138001024723,51.5192070007324,5,1398315
Amigos,Restaurant/Cafe/Canteen,,WC1R 4AJ,-0.1170128,51.518775,5,639810
Amorino,Restaurant/Cafe/Canteen,55 LONG ACRE,WC2E 9JL,-0.1232959,51.513552,5,988475
AMORINO,Takeaway/sandwich shop,UNIT K2 GROUND FLOOR,WC1N 1AW,-0.1236558,51.5237285,5,1798531
Amorino,Restaurant/Cafe/Canteen,7 GARRICK STREET,WC2E 9AR,-0.125936,51.511382,5,1214668
Amorino,Restaurant/Cafe/Canteen,33 VILLIERS STREET,WC2N 6ND,-0.1235493,51.5080885,5,1660512
AMORINO,Restaurant/Cafe/Canteen,,W1T 2PJ,-0.1346634,51.5196415,5,1222875
Amorino Gelato,Restaurant/Cafe/Canteen,18 CHARING CROSS ROAD,WC2H 0DT,-0.1281616,51.5105272,5,843002
ANA'S DELI AND CAFE,Restaurant/Cafe/Canteen,,WC1X 8TL,-0.1142519,51.5224537,5,1751410
Andrew Edmunds,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR 46 LEXINGTON STREET,W1F 0LP,-0.1361687,51.5131367,5,411494
Angel Hill Food Company,Other catering premises,39 VICTORIA STREET,SW1H 0EU,-0.1333483,51.4978762,5,1932690
AngloThai,Restaurant/Cafe/Canteen,24 SEYMOUR PLACE,W1H 7NL,-0.1611083,51.5151221,5,1768932
Angry Crab Shack,Restaurant/Cafe/Canteen,19A RUPERT STREET,W1D 6DF,-0.1329864,51.5109548,5,1592656
Angus Steak House,Restaurant/Cafe/Canteen,241-243 OXFORD STREET,W1D 2LU,-0.1413877,51.5152159,5,411031
Angus Steak House,Restaurant/Cafe/Canteen,WOODSTOCK HOUSE 10 WOODSTOCK STREET,W1C 2AJ,-0.1478371,51.5143377,5,412234
Angus Steak House,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR PART 20 CRANBOURN STREET,WC2H 7AA,-0.1279723,51.5116303,5,414372
Annabel's,Restaurant/Cafe/Canteen,46 BERKELEY SQUARE,W1J 5AT,-0.1463476,51.5091385,5,1077597
Apax Partners LLP,Restaurant/Cafe/Canteen,GROUND FLOOR 1 KNIGHTSBRIDGE,SW1X 7LX,-0.1532572,51.5022021,5,1686871
Apoy Oxford Street,Restaurant/Cafe/Canteen,MARKET HALL WEST END 9 HOLLES STREET,W1G 0BD,-0.1447501,51.515467,5,1624401
Apple Butter Cafe,Takeaway/sandwich shop,,WC2H 9HA,-0.127228006720543,51.513614654541,5,1222870
Apple Butter Langham,Restaurant/Cafe/Canteen,4-5 LANGHAM PLACE,W1B 3DG,-0.1426289,51.5176546,5,1698376
Apricity,Restaurant/Cafe/Canteen,68 DUKE STREET,W1K 6JU,-0.1513083,51.5136821,5,1474145
Aqua,Restaurant/Cafe/Canteen,30 ARGYLL STREET,W1F 7EB,-0.1409379,51.5142286,5,428202
Aragawa,Restaurant/Cafe/Canteen,38 CLARGES STREET,W1J 7EN,-0.1452204,51.5067335,5,1666260
Aram,Restaurant/Cafe/Canteen,ROOM S93 SECOND FLOOR NEW WING SOMERSET HOUSE STRAND,WC2R 1LT,-0.1180099,51.5105779,5,1884195
Aramark @ Selfridges,Restaurant/Cafe/Canteen,CONCESSION SELFRIDGES 400 OXFORD STREET,W1A 1AB,-0.1528138,51.5145871,5,908525
Aramark @ University of Westminster - Marylebone Zone 29 Cafe,Restaurant/Cafe/Canteen,29 MARYLEBONE ROAD,NW1 5JX,-0.1539612,51.5225637,5,1913705
Aramark Limited,Other catering premises,4-12 LITTLE TITCHFIELD STREET,W1W 7BY,-0.1410789,51.5181966,5,508495
Arcade,Restaurant/Cafe/Canteen,6 BEDFORD STREET,WC2E 9HZ,-0.1239873,51.5100559,5,1935980
ARCANA COFFEE COMPANY LIMITED,Restaurant/Cafe/Canteen,,WC1A 2TH,-0.122727,51.5179223,5,1683530
Archduke Restaurant,Restaurant/Cafe/Canteen,Arches 153 To 154,SE1 8XU,-0.116902,51.505265,5,484034
Archer Street,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOORS 3-4 ARCHER STREET,W1D 7AP,-0.1339466,51.5114377,5,413205
Archetype Coffee,Restaurant/Cafe/Canteen,GROUND FLOOR 31 RIDING HOUSE STREET,W1W 7DY,-0.1409498,51.5185363,5,1468079
Argentinian Grill,Takeaway/sandwich shop,20-21 LEICESTER SQUARE,WC2H 7JX,-0.1292758,51.5107698,5,1920922
Argyll Arms Public House,Restaurant/Cafe/Canteen,GROUND 18 ARGYLL STREET,W1F 7TP,-0.1414667,51.5150463,5,428020
Arket Cafe,Restaurant/Cafe/Canteen,224 REGENT STREET,W1B 3BR,-0.1409379,51.5142286,5,991209
Arket Store,Restaurant/Cafe/Canteen,27-29 LONG ACRE,WC2E 9LA,-0.1248425,51.5123897,5,991183
Arlington,Restaurant/Cafe/Canteen,ARLINGTON HOUSE 17-20 ARLINGTON STREET,SW1A 1RJ,-0.1408916,51.5065211,5,1666269
Army & Navy Club,Restaurant/Cafe/Canteen,36-39 PALL MALL,SW1Y 5JN,-0.1359853,51.5063353,5,413475
Arome Bakery,Takeaway/sandwich shop,9 MERCER STREET,WC2H 9QJ,-0.1262729,51.513006,5,1296970
Arro Coffee,Restaurant/Cafe/Canteen,145 OXFORD STREET,W1D 2JD,-0.1367717,51.5156643,5,1666247
Arro Coffee,Restaurant/Cafe/Canteen,67 CHILTERN STREET,W1U 6NJ,-0.1557235,51.5203342,5,1070784
Arros Qd,Restaurant/Cafe/Canteen,64 EASTCASTLE STREET,W1W 8NQ,-0.137056,51.5166761,5,1062890
Artisserie & Office Diner’,Takeaway/sandwich shop,,WC1X 8EW,-0.1141705,51.5230279,5,1214130
Arus rolls Ltd,Restaurant/Cafe/Canteen,36 STRUTTON GROUND,SW1P 2HR,-0.1339738,51.4966721,5,1863936
Ask Italian,Restaurant/Cafe/Canteen,121-127 PARK STREET,W1K 7JA,-0.1560651,51.5133073,5,427743
Assenheims,Restaurant/Cafe/Canteen,,WC2B 6TD,-0.1195938,51.515606,5,1873725
Assenheims 56,Takeaway/sandwich shop,4 Holborn,EC1N 2LL,-0.1109203,51.5179666,5,1735318
Association Of Anaesthetists,Restaurant/Cafe/Canteen,21 PORTLAND PLACE,W1B 1PY,-0.1451094,51.5193935,5,410968
Astrid & Miyu,Takeaway/sandwich shop,5-7 FOUBERT'S PLACE,W1F 7PY,-0.1400472,51.5134501,5,1737190
ATALIAN SERVEST FOOD CO,Restaurant/Cafe/Canteen,The University of Law,WC1E 7DE,-0.1315631,51.5200238,5,1653926
Atcha,Takeaway/sandwich shop,57 CLEVELAND STREET,W1T 4JN,-0.1389792,51.5205554,5,1924096
atis Baker Street,Restaurant/Cafe/Canteen,94 GEORGE STREET,W1U 8PB,-0.1561846,51.5174243,5,1870912
Atis Covent Garden,Restaurant/Cafe/Canteen,FIRST CHICAGO HOUSE 90 LONG ACRE,WC2E 9RA,-0.1232848,51.5141723,5,1791338
atis Grosvenor Street,Restaurant/Cafe/Canteen,4 GROSVENOR STREET,W1K 4PX,-0.1452053,51.5122177,5,1791318
atis North Audley Street,Restaurant/Cafe/Canteen,29 NORTH AUDLEY STREET,W1K 6WY,-0.1536545,51.5130446,5,1866398
atis Regent Street,Restaurant/Cafe/Canteen,295 REGENT STREET,W1B 2HJ,-0.143,51.5166803,5,1689913
Atis Southbank,Restaurant/Cafe/Canteen,Unit 3A,SE1 7BQ,-0.1157037,51.5041201,5,1866001
Attendant Coffee Roasters,Restaurant/Cafe/Canteen,55 DUKE STREET,W1K 5NR,-0.1509466,51.5138651,5,1073482
Aubaine,Restaurant/Cafe/Canteen,31 DOVER STREET,W1S 4ND,-0.1431668,51.5090391,5,427981
Audrey Green,Restaurant/Cafe/Canteen,NATIONAL PORTRAIT GALLERY 2 ST MARTIN'S PLACE,WC2H 0HE,-0.1284529,51.5093988,5,1624406
Aulis,Restaurant/Cafe/Canteen,16A ST ANNE'S COURT,W1F 0BG,-0.1343018,51.514384,5,732364
Automat,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR REAR 127 MOUNT STREET,W1K 3NT,-0.1480258,51.5100422,5,1866381
AVANTI WEST COAST,Takeaway/sandwich shop,Euston Railway Station,NW1 2HS,-0.133295997977257,51.5286636352539,5,1363456
Ave Mario,Restaurant/Cafe/Canteen,15 HENRIETTA STREET,WC2E 8QG,-0.1239105,51.510873,5,1373294
Azzurro Restaurant,Restaurant/Cafe/Canteen,Arches 145 And 146,SE1 7ND,-0.114648,51.504375,5,484575
B Bagel,Restaurant/Cafe/Canteen,,W1T 4TN,-0.1360092,51.521983,5,1398335
B BAGEL,Restaurant/Cafe/Canteen,,WC1A 1ES,-0.1262012,51.5171585,5,1868013
B Bagel Bakery Bar,Takeaway/sandwich shop,GROUND FLOOR SOUTH 54 WARDOUR STREET,W1D 4JF,-0.1330938,51.5125573,5,1149533
B-Flexion Restaurant,Other catering premises,1 BERKELEY STREET,W1J 8DJ,-0.14202,51.5074742,5,1627361
B.KITCHEN,Restaurant/Cafe/Canteen,Tesco Express,W1T 2QB,-0.1344614,51.519998,5,1866117
B.KITCHEN,Restaurant/Cafe/Canteen,Tesco Express B Kitchen,W1T 7RQ,-0.1302658,51.5168328,5,1841699
B.KITCHEN,Restaurant/Cafe/Canteen,Tesco Express B Kitchen,WC2H 9HJ,-0.1244933,51.5142987,5,1841701
