sim_minutes,n_riders_active,mean_stress_level,mean_congestion_index,pct_on_pavement,n_conflicts_this_step,cumulative_conflicts,deliveries_completed,pct_overdue
0.0,292,0.0,0.0,0.0,0,0,0,0.0
0.08333333333333333,292,0.0,0.2625649399966175,0.04794520547945205,21,21,0,0.0
0.16666666666666666,292,0.009814415453550707,0.2660581648083355,0.04794520547945205,24,45,0,0.0
0.25,292,0.01962883090710142,0.2634204866569587,0.03767123287671233,18,63,0,0.0
0.3333333333333333,292,0.029443246360652132,0.26554890699721856,0.03767123287671233,19,82,0,0.0
0.4166666666666667,292,0.039257661814202836,0.2589066184956596,0.03767123287671233,27,109,0,0.0
0.5,292,0.049072077267753554,0.26497192875617537,0.03767123287671233,24,133,0,0.0
0.5833333333333334,291,0.05844135509428642,0.26610732718980146,0.037800687285223365,22,155,1,0.0
0.6666666666666666,291,0.06744906151914522,0.2754712069145059,0.037800687285223365,24,179,2,0.0
0.75,292,0.07682065323706949,0.28763017804113694,0.03767123287671233,16,195,2,0.0
0.8333333333333334,292,0.08644601535931759,0.28371655795824097,0.06164383561643835,30,225,2,0.0
0.9166666666666666,291,0.09544746077740522,0.27103696636097224,0.061855670103092786,23,248,3,0.0
1.0,292,0.10467001997791595,0.278595466829322,0.06164383561643835,24,272,3,0.0
1.0833333333333333,292,0.1142194540441027,0.26516005602355897,0.03767123287671233,20,292,3,0.0
1.1666666666666667,292,0.12378849240418097,0.28426412275482726,0.0410958904109589,18,310,3,0.0
1.25,291,0.13254605186435406,0.26839255459359795,0.041237113402061855,24,334,4,0.0
1.3333333333333333,291,0.14069751838604935,0.25261015202916304,0.037800687285223365,21,355,5,0.0
1.4166666666666667,292,0.1496039898260918,0.2503665756437407,0.0410958904109589,24,379,5,0.0
1.5,291,0.15813907417635004,0.2670941124549372,0.048109965635738834,18,397,6,0.0
1.5833333333333333,292,0.1670091353943688,0.2643977819491518,0.0410958904109589,23,420,6,0.0
1.6666666666666667,292,0.17642076878422436,0.26746779983081354,0.023972602739726026,9,429,6,0.0
1.75,292,0.18584973107888236,0.26782941500407254,0.0410958904109589,16,445,6,0.0
1.8333333333333333,292,0.19527869337354042,0.27736456212483607,0.0547945205479452,14,459,6,0.0
1.9166666666666667,292,0.20470765566819846,0.28864487237774905,0.05821917808219178,19,478,6,0.0
2.0,292,0.21413661796285652,0.2851211421977837,0.05821917808219178,20,498,6,0.0
2.0833333333333335,291,0.22252286095238843,0.28833850446008286,0.037800687285223365,14,512,7,0.0
2.1666666666666665,292,0.23111455932568423,0.28105048523648357,0.03424657534246575,13,525,7,0.0
2.25,292,0.24046832229128273,0.27911212679127584,0.02054794520547945,8,533,7,0.0
2.3333333333333335,292,0.24984725809648026,0.2774908219165463,0.02054794520547945,17,550,7,0.0
2.4166666666666665,292,0.2592261939016778,0.2887090268939584,0.03767123287671233,14,564,7,0.0
2.5,291,0.26756584260824173,0.28228636579152044,0.037800687285223365,17,581,8,0.0
2.5833333333333335,291,0.2749181144557977,0.28012073836816104,0.037800687285223365,13,594,9,0.0
2.6666666666666665,291,0.282091066309201,0.28049958823154697,0.03436426116838488,17,611,10,0.0
2.75,292,0.29038692174579334,0.270224381782601,0.03767123287671233,14,625,10,0.0
2.8333333333333335,291,0.2986018266845922,0.276974886510969,0.037800687285223365,9,634,11,0.0
2.9166666666666665,291,0.30576320301083926,0.2768083577361928,0.037800687285223365,8,642,12,0.0
3.0,292,0.31391172649318694,0.28684841604362155,0.03767123287671233,12,654,12,0.0
3.0833333333333335,291,0.3219225687012376,0.29151915285935903,0.041237113402061855,10,664,13,0.0
3.1666666666666665,292,0.33000545288025424,0.2845571760811487,0.05136986301369863,16,680,13,0.0
3.25,292,0.33919081160961756,0.27357869522489264,0.05136986301369863,13,693,13,0.0
3.3333333333333335,291,0.3474135299623908,0.2786097935849091,0.048109965635738834,12,705,14,0.0
3.4166666666666665,287,0.3518514437423837,0.2970168153365318,0.04878048780487805,6,711,18,0.0
3.5,291,0.3535840819264435,0.29774314073740205,0.048109965635738834,12,723,19,0.0
3.5833333333333335,289,0.35786438387505015,0.30023143803164937,0.058823529411764705,12,735,22,0.0
3.6666666666666665,291,0.36432155473462985,0.27974612149615957,0.061855670103092786,21,756,22,0.0
3.75,291,0.37069475385540834,0.2920592311728388,0.06872852233676977,18,774,23,0.0
3.8333333333333335,290,0.37648024969702154,0.297570784824193,0.06551724137931035,16,790,25,0.0
3.9166666666666665,292,0.3827182200938626,0.28670075477776974,0.0684931506849315,18,808,25,0.0
4.0,290,0.38943981804625505,0.29008186569734284,0.05862068965517241,10,818,27,0.0
4.083333333333333,289,0.39305798714765827,0.28692379121595674,0.05190311418685121,13,831,30,0.0
4.166666666666667,291,0.39643219396501994,0.2838009049879697,0.058419243986254296,24,855,31,0.0
4.25,292,0.4037035540415227,0.29478167180371234,0.07876712328767123,15,870,31,0.0
4.333333333333333,291,0.4113137521771232,0.2920656370376797,0.0859106529209622,19,889,32,0.0
4.416666666666667,291,0.4173395162125791,0.28692550290488433,0.09278350515463918,15,904,33,0.0
4.5,289,0.4211709043048924,0.28641971254428,0.08996539792387544,18,922,36,0.0
4.583333333333333,292,0.425400735062643,0.28712871033076515,0.10273972602739725,17,939,36,0.0
4.666666666666667,291,0.4328934248993491,0.2791258760330925,0.10996563573883161,31,970,37,0.0
4.75,288,0.43556868609960275,0.2907630371172038,0.11805555555555555,24,994,41,0.0
4.833333333333333,291,0.4370018624748555,0.30298074363686806,0.13058419243986255,22,1016,42,0.0
4.916666666666667,291,0.44282162537158776,0.3095335169422187,0.14776632302405499,21,1037,43,0.0
5.0,292,0.4498756285910397,0.31418508209923346,0.15753424657534246,25,1062,43,0.0
5.083333333333333,291,0.4573248794296749,0.30675692196310755,0.1718213058419244,23,1085,44,0.0
5.166666666666667,289,0.4608277860233764,0.3148312759904456,0.16262975778546712,31,1116,47,0.0
5.25,291,0.4634917076614307,0.3055450181738842,0.17525773195876287,24,1140,48,0.0
5.333333333333333,289,0.4668945280243378,0.31772624722451714,0.17993079584775087,24,1164,51,0.0
5.416666666666667,290,0.4709914938375547,0.3036015038601245,0.18275862068965518,17,1181,52,0.0
5.5,291,0.4758556116006825,0.2993308047431759,0.1958762886597938,33,1214,53,0.0
5.583333333333333,289,0.48214132119911135,0.29997257644316466,0.20761245674740483,39,1253,55,0.0
5.666666666666667,287,0.47956936567572334,0.3001695835293782,0.20557491289198607,34,1287,60,0.0
5.75,290,0.47702053068613515,0.3021918109823664,0.23793103448275862,31,1318,62,0.0
5.833333333333333,291,0.4807045300135111,0.3054849588329351,0.23711340206185566,33,1351,63,0.0
5.916666666666667,289,0.48405344144576906,0.3012057520682472,0.24567474048442905,29,1380,66,0.0
6.0,289,0.4838111961208297,0.30939015809258025,0.23875432525951557,32,1412,69,0.0
6.083333333333333,291,0.48568578888602415,0.3160226848371178,0.2542955326460481,30,1442,70,0.0
6.166666666666667,292,0.4922980024816818,0.31809329337045844,0.2705479452054795,30,1472,70,0.0
6.25,291,0.4990365795999194,0.3048100620321303,0.2920962199312715,35,1507,71,0.0
6.333333333333333,291,0.5046384451586856,0.3042749060846032,0.28865979381443296,31,1538,72,0.0
6.416666666666667,290,0.5101111574504704,0.30078214954552646,0.27586206896551724,28,1566,74,0.0
6.5,289,0.5108960802392146,0.300298115630061,0.27335640138408307,28,1594,77,0.003424657534246575
6.583333333333333,289,0.5101110782146908,0.3017019405632977,0.27335640138408307,25,1619,80,0.0
6.666666666666667,290,0.5107375069888187,0.294507644466524,0.2689655172413793,25,1644,82,0.0
6.75,287,0.5105614047986664,0.2898833013136111,0.2787456445993031,33,1677,87,0.0
6.833333333333333,288,0.5052269143589326,0.29111055396446883,0.2847222222222222,30,1707,91,0.0
6.916666666666667,289,0.5048196557551443,0.2999427784838029,0.31141868512110726,33,1740,94,0.0
7.0,290,0.5052207853311811,0.29460738561214184,0.3137931034482759,31,1771,96,0.0
7.083333333333333,287,0.503060663523348,0.30257345248634443,0.30313588850174217,30,1801,101,0.0
7.166666666666667,292,0.5024461043005232,0.2953145931079665,0.3116438356164384,35,1836,101,0.0
7.25,289,0.50676593105689,0.30604816927834977,0.314878892733564,22,1858,104,0.003424657534246575
7.333333333333333,291,0.5079638698452916,0.30979660644101253,0.32646048109965636,32,1890,105,0.003424657534246575
7.416666666666667,289,0.510396450109446,0.29588359578217593,0.3217993079584775,30,1920,108,0.0
7.5,288,0.5080219944849752,0.29009598343675724,0.3402777777777778,32,1952,112,0.0
7.583333333333333,291,0.5077830449752757,0.28795909131518016,0.3470790378006873,33,1985,113,0.0
7.666666666666667,289,0.5100714727352977,0.30738457045246614,0.34256055363321797,34,2019,116,0.0
7.75,289,0.5090616547612261,0.28332672743507176,0.34256055363321797,35,2054,119,0.0
7.833333333333333,289,0.507783714726755,0.2979248459053972,0.3460207612456747,40,2094,122,0.003424657534246575
7.916666666666667,290,0.5080277184723785,0.2945829751566969,0.35517241379310344,41,2135,124,0.003424657534246575
8.0,291,0.5111283242244375,0.3057027839377644,0.3745704467353952,32,2167,125,0.003424657534246575
8.083333333333334,290,0.5145159641335887,0.2887234132626523,0.3586206896551724,31,2198,127,0.003424657534246575
8.166666666666666,291,0.5177393023038499,0.29609581969162485,0.3539518900343643,37,2235,128,0.00684931506849315
