sim_minutes,n_riders_active,mean_stress_level,mean_congestion_index,pct_on_pavement,n_conflicts_this_step,cumulative_conflicts,deliveries_completed,pct_overdue
0.0,296,0.0,0.0,0.0,0,0,0,0.0
0.08333333333333333,296,0.0,0.26480353028318143,0.037162162162162164,13,13,0,0.0
0.16666666666666666,296,0.012274086719442065,0.2639564044360556,0.037162162162162164,13,26,0,0.0
0.25,296,0.02454817343888413,0.26283126268591384,0.037162162162162164,15,41,0,0.0
0.3333333333333333,296,0.036822260158326195,0.2632053255599767,0.037162162162162164,16,57,0,0.0
0.4166666666666667,296,0.04909634687776827,0.2619918276168276,0.04391891891891892,17,74,0,0.0
0.5,296,0.06137043359721033,0.2616960273210273,0.04391891891891892,18,92,0,0.0
0.5833333333333334,296,0.07364452031665239,0.2668091386841387,0.05067567567567568,12,104,0,0.0
0.6666666666666666,296,0.08591860703609445,0.26700803754375185,0.060810810810810814,16,120,0,0.0
0.75,296,0.09819269375553652,0.2675111942969086,0.057432432432432436,17,137,0,0.0
0.8333333333333334,296,0.1104667804749786,0.2626663924317579,0.05067567567567568,20,157,0,0.0
0.9166666666666666,296,0.12274086719442066,0.2687860516764171,0.05067567567567568,14,171,0,0.0
1.0,296,0.13501495391386273,0.2808456793610448,0.060810810810810814,26,197,0,0.0
1.0833333333333333,296,0.14728904063330478,0.2813726017629672,0.060810810810810814,23,220,0,0.0
1.1666666666666667,296,0.15956312735274686,0.2832760239010239,0.05405405405405406,21,241,0,0.0
1.25,296,0.1718372140721889,0.2895031863781864,0.04054054054054054,15,256,0,0.0
1.3333333333333333,296,0.184111300791631,0.28695869097654814,0.04391891891891892,18,274,0,0.0
1.4166666666666667,296,0.19638538751107304,0.2773330407258979,0.057432432432432436,25,299,0,0.0
1.5,295,0.20748119771541926,0.27218099629721904,0.04406779661016949,21,320,1,0.0
1.5833333333333333,296,0.2189437917068514,0.25981729821015537,0.030405405405405407,10,330,1,0.0
1.6666666666666667,296,0.23110733569056538,0.2756507046685618,0.0472972972972973,15,345,1,0.0
1.75,296,0.24330269552542902,0.273690905833763,0.04054054054054054,17,362,1,0.0
1.8333333333333333,295,0.25430040854512875,0.2732710267940292,0.0576271186440678,22,384,2,0.0
1.9166666666666667,295,0.2642458002120493,0.26636512263630907,0.0576271186440678,13,397,3,0.0
2.0,295,0.27400358000351,0.2806977767994717,0.0576271186440678,15,412,4,0.0
2.0833333333333335,296,0.28500562174092153,0.2759395446895447,0.057432432432432436,14,426,4,0.0
2.1666666666666665,295,0.29560789386098685,0.2798770156397275,0.0576271186440678,14,440,5,0.0
2.25,295,0.30511498231649553,0.2734305242779819,0.0576271186440678,22,462,6,0.0
2.3333333333333335,296,0.3158777498705546,0.27075972108299695,0.04391891891891892,17,479,6,0.0
2.4166666666666665,295,0.326339358172205,0.27304193014596284,0.04406779661016949,14,493,7,0.0
2.5,296,0.3370508534604102,0.2684396727808058,0.05067567567567568,17,510,7,0.0
2.5833333333333335,296,0.3488648465802783,0.27768572890186194,0.09121621621621621,20,530,7,0.0
2.6666666666666665,295,0.3593137549878996,0.27301882304053127,0.07796610169491526,21,551,8,0.0
2.75,296,0.3698663591477679,0.2779351895423324,0.06418918918918919,19,570,8,0.0
2.8333333333333335,296,0.3816328611285412,0.2833379150343436,0.08445945945945946,20,590,8,0.0
2.9166666666666665,295,0.3918733245865626,0.26968420199655063,0.10508474576271186,21,611,9,0.0
3.0,296,0.40229079016672,0.2830190292166893,0.10135135135135136,24,635,9,0.0
3.0833333333333335,295,0.4125645100103195,0.2814948957789402,0.1152542372881356,19,654,10,0.0
3.1666666666666665,295,0.42137285686914433,0.27035316556941336,0.12542372881355932,28,682,11,0.0
3.25,295,0.4301125268090235,0.2647718289243713,0.12203389830508475,33,715,12,0.0
3.3333333333333335,296,0.4402978567229864,0.25693682256182254,0.11486486486486487,23,738,12,0.0
3.4166666666666665,296,0.45197152623811687,0.24390401265401265,0.13175675675675674,25,763,12,0.0
3.5,294,0.4608056854256572,0.24994112085948822,0.13945578231292516,32,795,14,0.0
3.5833333333333335,293,0.4676706620047913,0.2605740580996554,0.14334470989761092,35,830,16,0.0
3.6666666666666665,296,0.4743886364215702,0.27170982170982166,0.15878378378378377,35,865,16,0.0033783783783783786
3.75,293,0.48095472365628045,0.27050910788112154,0.17747440273037543,33,898,19,0.0033783783783783786
3.8333333333333335,294,0.48445649224469917,0.26102086721368917,0.18027210884353742,32,930,21,0.0
3.9166666666666665,294,0.489246687904645,0.2736142073580497,0.1870748299319728,25,955,23,0.0
4.0,296,0.49726181651193885,0.27281902626730214,0.21621621621621623,37,992,23,0.0
4.083333333333333,295,0.5070835698674828,0.2826814431753064,0.2305084745762712,37,1029,24,0.0
4.166666666666667,296,0.5167802884630106,0.2709162927912928,0.25,29,1058,24,0.0033783783783783786
4.25,295,0.5264768142743724,0.27756617205769746,0.2677966101694915,34,1092,25,0.006756756756756757
