"count_point_id","year","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles","estimation_method","estimation_method_detailed","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
6120,2003,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2510,5367,31371,2252,5193,1038,95,75,7,9,2,1226,45409
6120,2004,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2152,5991,31993,2248,5414,984,96,23,13,6,1,1123,46769
6120,2005,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",3283,5868,29399,2751,5734,931,65,14,15,5,2,1032,44784
6120,2006,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2167,5424,27352,2441,5708,873,97,22,14,6,11,1023,41948
6120,2007,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",1683,4061,32378,2821,8636,994,102,25,23,17,9,1170,49066
6120,2008,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2636,3879,27632,2322,5517,1096,76,41,12,11,5,1241,40591
6120,2009,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2653,3768,28159,2787,4811,877,84,28,15,6,0,1010,40535
6120,2010,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2434,3502,30704,3250,5232,945,89,33,28,16,3,1114,43802
6120,2011,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Estimated","Estimated using AADF from previous year on this link",2415,3474,30458,3341,5190,942,95,37,22,16,3,1115,43578
6120,2012,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2573,4219,30381,2629,6188,842,104,59,28,14,39,1087,44504
6120,2013,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Estimated","Estimated using AADF from previous year on this link",2125,4046,29233,2556,6454,892,119,71,28,18,54,1182,43472
6120,2014,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2231,2615,25879,3049,5829,1133,126,71,28,8,44,1410,38782
6120,2015,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Estimated","Estimated using AADF from previous year on this link",2104,2718,27372,2859,5597,1056,127,66,34,8,44,1335,39881
6120,2016,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Estimated","Estimated using AADF from previous year on this link",2177,2917,26806,3023,5773,1038,119,93,35,9,49,1342,39862
6120,2017,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2530,3622,31979,3462,6792,1206,150,94,37,10,56,1553,47408
6120,2018,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2316,3358,29523,3079,6441,1130,138,71,35,9,51,1433,43835
6120,2019,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2206,3598,30076,3110,6549,1131,142,75,36,9,52,1445,44777
6120,2020,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2729,2372,19855,2258,5015,884,103,55,28,7,41,1117,30617
6120,2021,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2438,2941,23087,2453,5698,986,119,64,30,8,45,1252,35431
6120,2022,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2496,4263,29881,3130,7820,1332,159,83,41,11,56,1682,46776
6120,2023,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2560,3645,25068,2652,6667,1107,129,68,32,9,44,1390,39422
