BusinessName,AddressLine1,AddressLine2,BusinessType
SCJ PICNIC TO KOREA,Unit 2,16 Bloomsbury Street,Restaurant/Cafe/Canteen
Stax Burgers,SECOND FLOOR UNIT 7 KINGLY COURT KINGLY COURT,,Restaurant/Cafe/Canteen
Strada,Unit 6,Royal Festival Hall,Restaurant/Cafe/Canteen
SUSHI POINT & SUSHI-MI,UNIT B,141-153 Drummond Street,Takeaway/sandwich shop
T4 BUBBLE TEA,Unit 34,Brunswick Centre,Takeaway/sandwich shop
Tart Modern,UNIT B AND UNIT C BAKER STREET STATION MARYLEBONE ROAD,,Takeaway/sandwich shop
The Gentlemen Baristas Marble Arch,UNIT 1 5 MARBLE ARCH,,Restaurant/Cafe/Canteen
The Pasty Shop,Unit 18 Euston Station,Eversholt Street,Takeaway/sandwich shop
The Restaurant,GROUND FLOOR NORTH REAR 5-7 CARLTON GARDENS,,Restaurant/Cafe/Canteen
THE SALAD PROJECT,Unit A Tottenham Walk,23-24 Tottenham Court Road,Restaurant/Cafe/Canteen
The Veeraswamy,BASEMENT AND FIRST FLOOR REAR AND MEZZANINE VICTORY HOUSE 99-101 REGENT STREET,,Restaurant/Cafe/Canteen
TIRAFFE,Unit 2,1 Southampton Row,Restaurant/Cafe/Canteen
Tossed,UNIT 61 GROUND FLOOR 55 BAKER STREET,,Restaurant/Cafe/Canteen
TRUEDAN,UNIT K1,Brunswick Centre,Restaurant/Cafe/Canteen
"Upper Crust, Barrier Line",Unit 23 Euston Station,Eversholt Street,Takeaway/sandwich shop
Wagamama,UNIT 8 GROUND FLOOR 5 CARDINAL WALK,,Restaurant/Cafe/Canteen
Wagamama,Unit 7,Royal Festival Hall,Restaurant/Cafe/Canteen
Wagamama,UNIT 1 6 MARBLE ARCH,,Restaurant/Cafe/Canteen
Wasabi,UNIT G7 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
Wasabi Sushi \& Bento,Retail Unit Marlborough Court,14-18 Holborn,Takeaway/sandwich shop
Yolk,UNIT 14 CATHEDRAL WALK,,Restaurant/Cafe/Canteen
Za'Ta,UNIT 63 55 BAKER STREET,,Restaurant/Cafe/Canteen
Zayna,COMMERCIAL UNIT 25 NEW QUEBEC STREET,,Restaurant/Cafe/Canteen
Zizzi,Unit 10,8 Central Saint Giles Piazza,Restaurant/Cafe/Canteen
Amajla's Caffe,,Unit 2 Mardale Hampstead Road,Restaurant/Cafe/Canteen
BloomsYard – Regents Place,Unit 2 Euston Tower,286 Euston Road,Restaurant/Cafe/Canteen
Bright Courtyard,UNIT 43 TO 45 GROUND FLOOR 55 BAKER STREET,,Restaurant/Cafe/Canteen
Cabana,Unit 9,7 Central Saint Giles Piazza,Restaurant/Cafe/Canteen
Cafe Rouge Euston Express,Unit 4 Euston Railway Station,Eversholt Street,Restaurant/Cafe/Canteen
Costa Coffee,UNIT 8 CHARING CROSS STATION STRAND,,Restaurant/Cafe/Canteen
Cote Brasserie,Unit 10,Royal Festival Hall,Restaurant/Cafe/Canteen
Darjeeling Express,UNIT 2.1 KINGLY COURT KINGLY STREET,,Restaurant/Cafe/Canteen
FIENA CAFE,Unit 4 Medway Court,Judd Street,Restaurant/Cafe/Canteen
GRAIN MEDITERRANEAN,Unit 4,272 High Holborn,Restaurant/Cafe/Canteen
Heriots Patisserie,UNIT G13A WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
Heytea Holborn,Unit 3 Ground Floor,272 High Holborn,Restaurant/Cafe/Canteen
Ippudo London Co Ltd,Unit 3,1 St Giles High Street,Restaurant/Cafe/Canteen
Mai dim sum,BASEMENT AND GROUND FLOOR REAR 22 GREAT WINDMILL STREET,,Restaurant/Cafe/Canteen
MAUI-POKE HOUSE,MAUI UNIT 1,1-7 New Oxford Street,Takeaway/sandwich shop
McDonald's,UNIT C6 AND UNIT G8 TO UNIT G9 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
MILLE LTD,Unit K4,Brunswick Centre,Restaurant/Cafe/Canteen
Oishii sushi-piccadlily circus,UNIT 7 PICCADILLY CIRCUS STATION PICCADILLY,,Takeaway/sandwich shop
Seoul Plaza Centre Point Branch,UNIT R06 & R08 Centre Point,101-103 New Oxford Street,Restaurant/Cafe/Canteen
The Gentlemen Baristas Holborn,Unit 3,1 New Oxford Street,Restaurant/Cafe/Canteen
The Great Thai Grab and Go,Unit R07 Centre Point,7 Earnshaw Street,Restaurant/Cafe/Canteen
The Pasty Shop,UNIT 4 MAIN CONCOURSE CHARING CROSS STATION STRAND,,Restaurant/Cafe/Canteen
The Upper Crust,UNIT 15 CHARING CROSS STATION STRAND,,Restaurant/Cafe/Canteen
Acai Berry,Unit 4,338 Euston Road Regent's Place,Restaurant/Cafe/Canteen
Cardinals Of Mayfair,BASEMENT REAR AND GROUND FLOOR REAR 115 PARK STREET,,Restaurant/Cafe/Canteen
Costa Coffee,Unit 4 Euston Railway Station,Eversholt Street,Restaurant/Cafe/Canteen
EDINE,Unit 2 Victoria House,Southampton Row,Restaurant/Cafe/Canteen
Feya /Feya Underground,UNIT 4 6 MARBLE ARCH,,Restaurant/Cafe/Canteen
Kahve Dunyasi,UNIT 3 200 PICCADILLY,,Restaurant/Cafe/Canteen
SANDWICH SANDWICH,Unit 9 Tottenham Walk,27 Tottenham Court Road,Takeaway/sandwich shop
Tunnel Meals,UNIT 12 AND 13 THE ARCHES,,Takeaway/sandwich shop
60 Degrees Coffee,UNIT 10B 10 GREYCOAT PLACE,,Restaurant/Cafe/Canteen
LA BELLEZZA DEL CIBO,UNIT 1 GROUND FLOOR PRINCE FREDERICK HOUSE 35-39 MADDOX STREET,,Restaurant/Cafe/Canteen
DaGe Claypot Noodles & Skewers,Unit 4,Brunswick Centre,Restaurant/Cafe/Canteen
Arc Le Salon,UNIT 2 1 CURZON STREET,,Restaurant/Cafe/Canteen
BEX COFFEE,Unit 20,Brunswick Centre,Restaurant/Cafe/Canteen
DUM Dum Donutterie,Unit 49 Euston Railway Station,Eversholt Street,Restaurant/Cafe/Canteen
EMILIA'S CRAFTED PASTA,Unit 6,1 St Giles High Street,Restaurant/Cafe/Canteen
MELETIUS SPECIALITY COFFEE ROASTERS,Unit 2,37-39 High Holborn,Restaurant/Cafe/Canteen
Say Matcha,Unit 10,Brunswick Centre,Restaurant/Cafe/Canteen
SUSHI-MI,Unit B,141-153 Drummond Street,Takeaway/sandwich shop
Platinum Lace,UNIT 33 TROCADERO 13 COVENTRY STREET,,Restaurant/Cafe/Canteen
